Date : 2024-09-06 17:50:16
Directory : c:\xampp\htdocs\ReeyaEcommerce
Total : 363 files,  19432 codes, 12358 comments, 4295 blanks, all 36085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        343 |     13,391 |     12,191 |      3,212 |     28,794 |
| CSS        |          5 |      2,736 |         46 |        181 |      2,963 |
| Markdown   |          2 |      1,518 |          0 |        780 |      2,298 |
| HTML       |          1 |      1,195 |          5 |          8 |      1,208 |
| JavaScript |         11 |        544 |        116 |        113 |        773 |
| JSON       |          1 |         48 |          0 |          1 |         49 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        363 |     19,432 |     12,358 |      4,295 |     36,085 |
| . (Files)                                                                                                         |         14 |      2,912 |         42 |        148 |      3,102 |
| admin                                                                                                             |         39 |      2,749 |        277 |        445 |      3,471 |
| admin (Files)                                                                                                     |         17 |      1,562 |        180 |        253 |      1,995 |
| admin\css                                                                                                         |          2 |        665 |          4 |         62 |        731 |
| admin\include                                                                                                     |          3 |        148 |         10 |         21 |        179 |
| admin\js                                                                                                          |          2 |         14 |         52 |         19 |         85 |
| admin\php                                                                                                         |         15 |        360 |         31 |         90 |        481 |
| css                                                                                                               |          3 |      2,071 |         42 |        119 |      2,232 |
| includes                                                                                                          |          5 |        238 |         16 |         30 |        284 |
| js                                                                                                                |          9 |        530 |         64 |         94 |        688 |
| php                                                                                                               |         11 |        553 |         92 |        136 |        781 |
| stripe-php                                                                                                        |        282 |     10,379 |     11,825 |      3,323 |     25,527 |
| stripe-php (Files)                                                                                                |          4 |      1,844 |         14 |        797 |      2,655 |
| stripe-php\lib                                                                                                    |        278 |      8,535 |     11,811 |      2,526 |     22,872 |
| stripe-php\lib (Files)                                                                                            |         83 |      3,846 |      4,176 |      1,023 |      9,045 |
| stripe-php\lib\ApiOperations                                                                                      |          9 |        203 |        230 |         62 |        495 |
| stripe-php\lib\Apps                                                                                               |          1 |         24 |         47 |          9 |         80 |
| stripe-php\lib\BillingPortal                                                                                      |          2 |         17 |         50 |         10 |         77 |
| stripe-php\lib\Checkout                                                                                           |          1 |         43 |         87 |         16 |        146 |
| stripe-php\lib\Exception                                                                                          |         23 |        308 |        265 |        108 |        681 |
| stripe-php\lib\Exception (Files)                                                                                  |         14 |        256 |        227 |         80 |        563 |
| stripe-php\lib\Exception\OAuth                                                                                    |          9 |         52 |         38 |         28 |        118 |
| stripe-php\lib\FinancialConnections                                                                               |          4 |         63 |         83 |         27 |        173 |
| stripe-php\lib\HttpClient                                                                                         |          3 |        435 |        228 |        124 |        787 |
| stripe-php\lib\Identity                                                                                           |          2 |         40 |         78 |         17 |        135 |
| stripe-php\lib\Issuing                                                                                            |          6 |         75 |        180 |         34 |        289 |
| stripe-php\lib\Radar                                                                                              |          3 |         36 |         55 |         16 |        107 |
| stripe-php\lib\Reporting                                                                                          |          2 |         17 |         47 |         10 |         74 |
| stripe-php\lib\Service                                                                                            |        109 |      2,520 |      5,532 |        805 |      8,857 |
| stripe-php\lib\Service (Files)                                                                                    |         48 |      1,471 |      3,567 |        440 |      5,478 |
| stripe-php\lib\Service\Apps                                                                                       |          2 |         33 |         50 |         12 |         95 |
