Date : 2024-09-06 17:50:16
Directory : c:\xampp\htdocs\ReeyaEcommerce
Total : 363 files,  19432 codes, 12358 comments, 4295 blanks, all 36085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| stripe-php\lib\Service\BillingPortal                                                                              |          3 |         43 |         67 |         16 |        126 |
| stripe-php\lib\Service\Checkout                                                                                   |          2 |         37 |         69 |         13 |        119 |
| stripe-php\lib\Service\FinancialConnections                                                                       |          3 |         51 |         91 |         18 |        160 |
| stripe-php\lib\Service\Identity                                                                                   |          3 |         55 |        141 |         19 |        215 |
| stripe-php\lib\Service\Issuing                                                                                    |          6 |        125 |        279 |         41 |        445 |
| stripe-php\lib\Service\Radar                                                                                      |          4 |         73 |        145 |         25 |        243 |
| stripe-php\lib\Service\Reporting                                                                                  |          3 |         43 |         66 |         16 |        125 |
| stripe-php\lib\Service\Sigma                                                                                      |          2 |         25 |         31 |         10 |         66 |
| stripe-php\lib\Service\Tax                                                                                        |          3 |         47 |         75 |         17 |        139 |
| stripe-php\lib\Service\Terminal                                                                                   |          5 |        119 |        246 |         38 |        403 |
| stripe-php\lib\Service\TestHelpers                                                                                |         14 |        199 |        332 |         73 |        604 |
| stripe-php\lib\Service\TestHelpers (Files)                                                                        |          4 |         60 |         93 |         21 |        174 |
| stripe-php\lib\Service\TestHelpers\Issuing                                                                        |          2 |         33 |         58 |         12 |        103 |
| stripe-php\lib\Service\TestHelpers\Terminal                                                                       |          2 |         21 |         22 |          9 |         52 |
| stripe-php\lib\Service\TestHelpers\Treasury                                                                       |          6 |         85 |        159 |         31 |        275 |
| stripe-php\lib\Service\Treasury                                                                                   |         11 |        199 |        373 |         67 |        639 |
| stripe-php\lib\Sigma                                                                                              |          1 |         12 |         20 |          6 |         38 |
| stripe-php\lib\Tax                                                                                                |          4 |         66 |        108 |         30 |        204 |
| stripe-php\lib\Terminal                                                                                           |          4 |         75 |        100 |         30 |        205 |
| stripe-php\lib\TestHelpers                                                                                        |          1 |         20 |         26 |          8 |         54 |
| stripe-php\lib\Treasury                                                                                           |         11 |        214 |        307 |         82 |        603 |
| stripe-php\lib\Util                                                                                               |          9 |        521 |        192 |        109 |        822 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\ReeyaEcommerce\404.html                                                                           | HTML       |      1,195 |          5 |          8 |      1,208 |
| c:\xampp\htdocs\ReeyaEcommerce\about.php                                                                          | PHP        |        133 |          0 |          8 |        141 |
| c:\xampp\htdocs\ReeyaEcommerce\account.php                                                                        | PHP        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\add-admin.php                                                                | PHP        |         79 |         11 |         11 |        101 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\add-category.php                                                             | PHP        |         75 |         11 |         11 |         97 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\add-product.php                                                              | PHP        |        150 |         14 |         17 |        181 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\add-redeem.php                                                               | PHP        |         83 |         11 |         11 |        105 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\admin.php                                                                    | PHP        |         86 |         14 |         17 |        117 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\category.php                                                                 | PHP        |         79 |         12 |         16 |        107 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\css\404.css                                                                  | CSS        |        101 |          2 |          4 |        107 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\css\style.css                                                                | CSS        |        564 |          2 |         58 |        624 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\edit-category.php                                                            | PHP        |         83 |         11 |         12 |        106 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\edit-product.php                                                             | PHP        |        117 |         11 |         14 |        142 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\edit-redeem.php                                                              | PHP        |         95 |         11 |         13 |        119 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\include\bottom.php                                                           | PHP        |          7 |          0 |          3 |         10 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\include\logout.php                                                           | PHP        |         13 |          0 |          3 |         16 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\include\sidebar.php                                                          | PHP        |        128 |         10 |         15 |        153 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\index.php                                                                    | PHP        |         77 |          0 |         12 |         89 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\js\datatable.js                                                              | JavaScript |          0 |         51 |         12 |         63 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\js\index.js                                                                  | JavaScript |         14 |          1 |          7 |         22 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\login.php                                                                    | PHP        |        116 |          3 |         16 |        135 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\orders.php                                                                   | PHP        |         91 |         12 |         19 |        122 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\payments.php                                                                 | PHP        |         91 |         12 |         19 |        122 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-admin.php                                                            | PHP        |         24 |          0 |          6 |         30 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-category.php                                                         | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-product.php                                                          | PHP        |         66 |         15 |         18 |         99 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-redeem.php                                                           | PHP        |         25 |          0 |          7 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\admin-login.php                                                          | PHP        |         26 |          1 |          5 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\change-admin-status.php                                                  | PHP        |         27 |          3 |          9 |         39 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\change-user-status.php                                                   | PHP        |         27 |          3 |          9 |         39 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\connection.php                                                           | PHP        |         10 |          5 |          4 |         19 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\delete-category.php                                                      | PHP        |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\delete-product.php                                                       | PHP        |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\delete-redeem.php                                                        | PHP        |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\edit-category.php                                                        | PHP        |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\edit-product.php                                                         | PHP        |         51 |          4 |         10 |         65 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\edit-redeem.php                                                          | PHP        |         26 |          0 |          6 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\php\update-admin.php                                                         | PHP        |         22 |          0 |          5 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\products.php                                                                 | PHP        |         88 |         12 |         16 |        116 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\redeem-code.php                                                              | PHP        |         85 |         12 |         16 |        113 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\settings.php                                                                 | PHP        |         75 |         11 |         15 |        101 |
| c:\xampp\htdocs\ReeyaEcommerce\admin\users.php                                                                    | PHP        |         92 |         12 |         18 |        122 |
| c:\xampp\htdocs\ReeyaEcommerce\cart.php                                                                           | PHP        |        116 |          3 |          8 |        127 |
| c:\xampp\htdocs\ReeyaEcommerce\checkout.php                                                                       | PHP        |        200 |          9 |         16 |        225 |
| c:\xampp\htdocs\ReeyaEcommerce\contact.php                                                                        | PHP        |         53 |          0 |          2 |         55 |
| c:\xampp\htdocs\ReeyaEcommerce\css\404.css                                                                        | CSS        |        101 |          2 |          4 |        107 |
| c:\xampp\htdocs\ReeyaEcommerce\css\stripeStyle.css                                                                | CSS        |        130 |          1 |         23 |        154 |
| c:\xampp\htdocs\ReeyaEcommerce\css\style.css                                                                      | CSS        |      1,840 |         39 |         92 |      1,971 |
| c:\xampp\htdocs\ReeyaEcommerce\includes\connect.php                                                               | PHP        |         10 |          5 |          4 |         19 |
| c:\xampp\htdocs\ReeyaEcommerce\includes\footer-menu.php                                                           | PHP        |         44 |          0 |          1 |         45 |
| c:\xampp\htdocs\ReeyaEcommerce\includes\footer.php                                                                | PHP        |          2 |          0 |          2 |          4 |
| c:\xampp\htdocs\ReeyaEcommerce\includes\header.php                                                                | PHP        |         68 |          7 |         11 |         86 |
| c:\xampp\htdocs\ReeyaEcommerce\includes\navbar.php                                                                | PHP        |        114 |          4 |         12 |        130 |
| c:\xampp\htdocs\ReeyaEcommerce\index.php                                                                          | PHP        |        251 |          1 |         16 |        268 |
| c:\xampp\htdocs\ReeyaEcommerce\js\aboutUsSlider.js                                                                | JavaScript |         60 |         11 |         14 |         85 |
| c:\xampp\htdocs\ReeyaEcommerce\js\cartCalculation.js                                                              | JavaScript |         61 |         11 |         15 |         87 |
| c:\xampp\htdocs\ReeyaEcommerce\js\checkoutV.js                                                                    | JavaScript |         76 |         10 |         15 |        101 |
| c:\xampp\htdocs\ReeyaEcommerce\js\contactUsValidation.js                                                          | JavaScript |         55 |          6 |          9 |         70 |
| c:\xampp\htdocs\ReeyaEcommerce\js\flashsalecard.js                                                                | JavaScript |         74 |         10 |         11 |         95 |
| c:\xampp\htdocs\ReeyaEcommerce\js\imageslider.js                                                                  | JavaScript |         24 |          1 |          4 |         29 |
| c:\xampp\htdocs\ReeyaEcommerce\js\product-details.js                                                              | JavaScript |         11 |          0 |          2 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\js\signinValidation.js                                                             | JavaScript |         64 |          6 |         10 |         80 |
| c:\xampp\htdocs\ReeyaEcommerce\js\signupValidation.js                                                             | JavaScript |        105 |          9 |         14 |        128 |
| c:\xampp\htdocs\ReeyaEcommerce\login.php                                                                          | PHP        |         51 |          0 |          0 |         51 |
| c:\xampp\htdocs\ReeyaEcommerce\order-success.php                                                                  | PHP        |        243 |         15 |         33 |        291 |
| c:\xampp\htdocs\ReeyaEcommerce\php\add-to-cart.php                                                                | PHP        |         79 |         14 |         23 |        116 |
| c:\xampp\htdocs\ReeyaEcommerce\php\add-wishlist.php                                                               | PHP        |         36 |          5 |          9 |         50 |
| c:\xampp\htdocs\ReeyaEcommerce\php\billing-update.php                                                             | PHP        |        122 |         30 |         28 |        180 |
| c:\xampp\htdocs\ReeyaEcommerce\php\delete-wishlist.php                                                            | PHP        |         28 |          3 |          8 |         39 |
| c:\xampp\htdocs\ReeyaEcommerce\php\delete_from_cart.php                                                           | PHP        |         31 |          2 |         10 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\php\move-all-to-cart.php                                                           | PHP        |         46 |          7 |         11 |         64 |
| c:\xampp\htdocs\ReeyaEcommerce\php\redeem_coupon.php                                                              | PHP        |         39 |          7 |         10 |         56 |
| c:\xampp\htdocs\ReeyaEcommerce\php\stripe-payment.php                                                             | PHP        |         63 |         10 |         12 |         85 |
| c:\xampp\htdocs\ReeyaEcommerce\php\update-cart.php                                                                | PHP        |         40 |          4 |         10 |         54 |
| c:\xampp\htdocs\ReeyaEcommerce\php\user-login.php                                                                 | PHP        |         33 |          5 |          7 |         45 |
| c:\xampp\htdocs\ReeyaEcommerce\php\user-signup.php                                                                | PHP        |         36 |          5 |          8 |         49 |
| c:\xampp\htdocs\ReeyaEcommerce\product-details.php                                                                | PHP        |        185 |          0 |          6 |        191 |
| c:\xampp\htdocs\ReeyaEcommerce\signup.php                                                                         | PHP        |         69 |          0 |          1 |         70 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-payment.php                                                                 | PHP        |        120 |          2 |          6 |        128 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\CHANGELOG.md                                                            | Markdown   |      1,317 |          0 |        682 |      1,999 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\README.md                                                               | Markdown   |        201 |          0 |         98 |        299 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\composer.json                                                           | JSON       |         48 |          0 |          1 |         49 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\init.php                                                                | PHP        |        278 |         14 |         16 |        308 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Account.php                                                         | PHP        |        167 |        197 |         39 |        403 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\AccountLink.php                                                     | PHP        |          7 |         15 |          5 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\All.php                                               | PHP        |         20 |         13 |          5 |         38 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Create.php                                            | PHP        |         14 |         13 |          5 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Delete.php                                            | PHP        |         13 |         13 |          5 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\NestedResource.php                                    | PHP        |         46 |         73 |         17 |        136 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Request.php                                           | PHP        |         43 |         48 |         10 |        101 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Retrieve.php                                          | PHP        |         12 |         15 |          4 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Search.php                                            | PHP        |         19 |         14 |          5 |         38 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\SingletonRetrieve.php                                 | PHP        |         12 |         15 |          4 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiOperations\Update.php                                            | PHP        |         24 |         26 |          7 |         57 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiRequestor.php                                                    | PHP        |        353 |        181 |         84 |        618 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiResource.php                                                     | PHP        |         64 |         41 |         18 |        123 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApiResponse.php                                                     | PHP        |         17 |         21 |          8 |         46 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApplePayDomain.php                                                  | PHP        |         14 |         12 |          6 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApplicationFee.php                                                  | PHP        |         26 |         55 |         10 |         91 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ApplicationFeeRefund.php                                            | PHP        |         31 |         27 |          9 |         67 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Apps\Secret.php                                                     | PHP        |         24 |         47 |          9 |         80 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Balance.php                                                         | PHP        |          7 |         24 |          5 |         36 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BalanceTransaction.php                                              | PHP        |         40 |         26 |          6 |         72 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BankAccount.php                                                     | PHP        |         56 |         65 |         15 |        136 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BaseStripeClient.php                                                | PHP        |        145 |        125 |         43 |        313 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BaseStripeClientInterface.php                                       | PHP        |         10 |         28 |          7 |         45 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BillingPortal\Configuration.php                                     | PHP        |         10 |         19 |          5 |         34 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\BillingPortal\Session.php                                           | PHP        |          7 |         31 |          5 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Capability.php                                                      | PHP        |         43 |         33 |         13 |         89 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Card.php                                                            | PHP        |         53 |         71 |         15 |        139 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CashBalance.php                                                     | PHP        |         28 |         28 |         11 |         67 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Charge.php                                                          | PHP        |         72 |         84 |         11 |        167 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Checkout\Session.php                                                | PHP        |         43 |         87 |         16 |        146 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Collection.php                                                      | PHP        |        158 |        118 |         40 |        316 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CountrySpec.php                                                     | PHP        |          8 |         18 |          5 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Coupon.php                                                          | PHP        |         11 |         30 |          5 |         46 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CreditNote.php                                                      | PHP        |         47 |         71 |         16 |        134 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CreditNoteLineItem.php                                              | PHP        |          6 |         19 |          4 |         29 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Customer.php                                                        | PHP        |        127 |        233 |         34 |        394 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CustomerBalanceTransaction.php                                      | PHP        |         48 |         44 |         13 |        105 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\CustomerCashBalanceTransaction.php                                  | PHP        |         15 |         22 |          6 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Discount.php                                                        | PHP        |          6 |         15 |          3 |         24 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Dispute.php                                                         | PHP        |         38 |         36 |          9 |         83 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\EphemeralKey.php                                                    | PHP        |         17 |         18 |          8 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ErrorObject.php                                                     | PHP        |        157 |         48 |          4 |        209 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Event.php                                                           | PHP        |        230 |         50 |          6 |        286 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\ApiConnectionException.php                                | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\ApiErrorException.php                                     | PHP        |        102 |         93 |         25 |        220 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\AuthenticationException.php                               | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\BadMethodCallException.php                                | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\CardException.php                                         | PHP        |         38 |         38 |          9 |         85 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\ExceptionInterface.php                                    | PHP        |         11 |          9 |          3 |         23 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\IdempotencyException.php                                  | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\InvalidArgumentException.php                              | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\InvalidRequestException.php                               | PHP        |         27 |         27 |          7 |         61 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\ExceptionInterface.php                              | PHP        |          5 |          3 |          3 |         11 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\InvalidClientException.php                          | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\InvalidGrantException.php                           | PHP        |          5 |          6 |          3 |         14 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\InvalidRequestException.php                         | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\InvalidScopeException.php                           | PHP        |          5 |          3 |          3 |         11 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\OAuthErrorException.php                             | PHP        |         12 |          4 |          4 |         20 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\UnknownOAuthErrorException.php                      | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\UnsupportedGrantTypeException.php                   | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\OAuth\UnsupportedResponseTypeException.php                | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\PermissionException.php                                   | PHP        |          5 |          4 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\RateLimitException.php                                    | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\SignatureVerificationException.php                        | PHP        |         33 |         33 |          9 |         75 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\UnexpectedValueException.php                              | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Exception\UnknownApiErrorException.php                              | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ExchangeRate.php                                                    | PHP        |          8 |         18 |          5 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\File.php                                                            | PHP        |         36 |         38 |         10 |         84 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FileLink.php                                                        | PHP        |         10 |         16 |          5 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FinancialConnections\Account.php                                    | PHP        |         43 |         48 |         14 |        105 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FinancialConnections\AccountOwner.php                               | PHP        |          6 |         11 |          4 |         21 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FinancialConnections\AccountOwnership.php                           | PHP        |          6 |          9 |          4 |         19 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FinancialConnections\Session.php                                    | PHP        |          8 |         15 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\FundingInstructions.php                                             | PHP        |          7 |         17 |          5 |         29 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\HttpClient\ClientInterface.php                                      | PHP        |          6 |         14 |          3 |         23 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\HttpClient\CurlClient.php                                           | PHP        |        423 |        199 |        118 |        740 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\HttpClient\StreamingClientInterface.php                             | PHP        |          6 |         15 |          3 |         24 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Identity\VerificationReport.php                                     | PHP        |         10 |         30 |          6 |         46 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Identity\VerificationSession.php                                    | PHP        |         30 |         48 |         11 |         89 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Invoice.php                                                         | PHP        |         93 |        192 |         27 |        312 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\InvoiceItem.php                                                     | PHP        |         11 |         48 |          5 |         64 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\InvoiceLineItem.php                                                 | PHP        |          6 |         27 |          4 |         37 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\Authorization.php                                           | PHP        |         23 |         52 |          9 |         84 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\Card.php                                                    | PHP        |         10 |         29 |          5 |         44 |
